100000	3,824	0,0419998
200000	6,999	0,092
300000	10,204	0,138
400000	13,447	0,177999
500000	15,569	0,202
600000	18,777	0,279001
700000	21,71	0,34
800000	24,62	0,369001
900000	27,393	0,426001
1000000	29,728	0,452
1100000	32,269	0,493
1200000	35,504	0,542999
1300000	37,98	0,610001
1400000	40,818	0,652
1500000	44,019	0,712997
1600000	47,458	0,77
1700000	50	0,779999
1800000	52,164	0,834
1900000	55,145	0,898003
2000000	58,279	0,93
2100000	61,283	0,986
2200000	63,683	1,069
2300000	65,789	1,095
2400000	68,666	1,175
2500000	71,224	1,19901
2600000	73,869	1,272
2700000	76,813	1,314
2800000	80,486	1,365
2900000	83,783	1,425
3000000	85,466	1,304
3100000	87,979	1,50999
3200000	92,775	1,547
3300000	93,549	1,629
3400000	97,148	1,47501
3500000	99,39	1,727
3600000	102,334	1,776
3700000	106,489	1,759
3800000	107,551	1,61401
3900000	110,562	1,935
4000000	112,608	1,994
4100000	118,04	1,759
4200000	119,037	1,849
4300000	120,781	2,18
4400000	125,167	1,938
4500000	128,082	2,261
4600000	129,918	2,32199
4700000	134,727	2,34
4800000	134,747	2,40701
4900000	138,404	2,483
5000000	142,444	2,22499
5100000	143,412	2,55499
5200000	146,479	2,629
5300000	150,012	2,645
5400000	150,805	2,72701
5500000	153,701	2,71199
5600000	155,921	2,511
5700000	160,177	2,911
5800000	161,44	2,64
5900000	165,184	2,946
6000000	168,598	3,007
6100000	169,739	3,043
6200000	174,985	2,804
6300000	177,42	3,173
6400000	177,588	2,86601
6500000	180,503	2,948
6600000	183,449	3,38499
6700000	187,696	3,43201
6800000	190,285	3,437
6900000	191,837	3,507
7000000	194,619	3,606
7100000	195,914	3,257
7200000	197,925	3,60899
7300000	200,084	3,61301
7400000	204,401	3,79399
7500000	207,478	3,877
7600000	210,98	3,836
7700000	212,761	3,50301
7800000	214,631	3,946
7900000	217,626	3,69
8000000	219,03	4,121
8100000	221,221	4,22
8200000	227,751	4,25999
8300000	227,929	4,136
8400000	229,265	4,35199
8500000	234,225	4,37199
8600000	233,984	3,97
8700000	237,089	4
8800000	243,157	4,03699
8900000	242,518	4,605
9000000	246,827	4,58401
9100000	249,179	4,703
9200000	247,775	4,69901
9300000	250,946	4,299
9400000	256,475	4,89301
9500000	259,736	4,82401
9600000	261,801	4,936
9700000	261,419	5,00299
9800000	266,23	4,46201
9900000	267,618	5,14099
10000000	268,504	5,12399
