wtf
100000	3,891	0,0440001
200000	7,021	0,11
300000	9,685	0,120998
400000	12,078	0,181
500000	14,831	0,218998
600000	16,417	0,269997
700000	17,967	0,313004
800000	19,911	0,365005
900000	22,26	0,453003
1000000	23,173	0,437012
1100000	23,955	0,471985
1200000	25,135	0,520996
1300000	27,188	0,574982
1400000	29,062	0,627014
1500000	30,4951	0,607971
1600000	32,963	0,64801
1700000	33,94	0,772034
1800000	36,556	0,832031
1900000	37,9969	0,9021
2000000	41,7059	0,97998
2100000	42,124	0,898926
2200000	44,119	1,06799
2300000	46,306	1,12
